id_categoria;nome_esercizio;descrizione_esercizio;note
1;Flessione anteriore e posteriore del collo;"Seduti su uno sgabello con il busto eretto, gambe e piedi uniti, testa alta e sguardo in avanti, braccia lungo i fianchi, spalle rilassate. Espirando, inclinare lentamente il capo fino a toccare il petto con il mento; inspirando, tornare alla posizione iniziale.";Mantenere la posizione per 20/30 secondi. Fare 10 ripetizioni. 
1;Flessione laterale del collo;"In piedi, flettere lentamente di lato il collo; con la mano del lato verso il quale è piegato il capo, spingere leggermente verso il basso la testa (avvicinando l’orecchio alla spalla) in modo da praticare una leggera tensione. Piegare l’altro braccio a 90 gradi portando la mano dietro la schiena.";Mantenere la posizione per 20-30 secondi e cambiare lato. Fare 10 ripetizioni.
1;Inclinazione laterale del collo con rotazione;In piedi o seduti con la schiena eretta flettere lentamente il collo a destra, indietro, a sinistra e in avanti in modo da compiere una circonduzione completa del capo. Tenere spalle e collo rilassati durante tutto l’arco del movimento e ripetere in senso inverso.;Fare 10 ripetizioni.
1;Flessione laterale (stretching trapezio);In piedi o seduti flettere lentamente di lato il collo. Con la mano del lato verso il quale è piegato il collo afferrare il polso del braccio opposto e tirarlo leggermente verso il basso in modo da mettere in tensione i muscoli del trapezio e della spalla controlaterali.;Mantenere la posizione per 20-30 secondi e cambiare lato. Fare 10 ripetizioni.
1;Estensione del collo;Senza inarcare la schiena, lentamente muovere la testa all’indietro così da guardare verso l’alto.;Mantenere la posizione per cinque secondi. Tornare alla posizione di partenza. Fare 10 ripetizioni.
1;Rotazione del collo;Iniziate guardando dritto davanti a voi. Lentamente girare la testa a sinistra. Mantenere la rotazione per dieci secondi, poi tornare alla posizione di partenza. Quindi, lentamente, girare la testa verso il lato opposto.;Mantenere la rotazione per dieci secondi e poi tornare alla posizione di partenza. Fare 10 ripetizioni.
1;ESERCIZI CONTRO RESISTENZA PER I MUSCOLI DEL COLLO;Iniziate guardando dritto davanti a voi. Lentamente inclinare la testa in una direzione (in avanti, indietro, di lato) usando la mano per fare resistenza, premere contro di essa usando i muscoli del collo.;Mantenere la pressione per 5 secondi quindi tornare alla posizione di partenza. Fare 10 ripetizioni.
1;STRETCHING PROFONDO;Seduti col busto eretto, lasciate ricadere il capo verso il petto. Potete incrementare la pressione spingendo con le mani come mostrato in figura.;Mantenere la pressione per 30 secondi quindi rilasciare. Ripetere 3 volte.
1;ALLUNGAMENTO DEL RACHIDE CERVICALE;In piedi, tenere i lati di un asciugamano posato sopra la testa. Spingere il capo verso l’alto, applicando una resistenza all’asciugamano che tira il capo verso il basso.;Mantenere la posizione da 6 a 10 secondi, meno in caso di dolore. Fare serie di 5 movimenti con pause (2 volte più lunghe del movimento stesso).
1;ESTENSIONE DEL RACHIDE CERVICALE;In piedi, un asciugamano dietro la testa mantenuto ai due lati, spingere la testa all’indietro contro la resistenza dell’asciugamano tirato con le mani in avanti.;Fare durare il movimento alcuni secondi (da 6 a 10), fermandosi se diventa troppo doloroso. Serie di 5 movimenti con pause pari al doppio della durata dell’esercizio.
1;ESTENSIONE DEL RACHIDE CERVICALE;Ben seduti su una poltrona con schienale alto, spingete la testa contro lo schienale stesso mantenendo bene il mento in orizzontale.;Fare serie di 5 movimenti con pause (2 volte più lunghe del movimento stesso).
2;PENDOLO (di Codman);"In piedi, flette il busto in avanti (45° o 90°), appoggiandosi con l’arto sano su un supporto (ad es. un tavolo) e mantenendo il rachide correttamente allineato e le ginocchia piegate; rilassare l’arto interessato facendolo ruotare in senso orario e antiorario. Eventualmente si può svolgere l’esercizio impugnando un peso leggero.";20 circonduzioni per ogni senso di rotazione (orario e antiorario) 2/3 ripetizioni del set 2/3 volte al giorno
2;ROTAZIONE INTERNA/ESTERNA;In posizione supina e con entrambi i gomiti appoggiati piegati a 90°, impugnare un bastone con il palmo della mano dell’arto interessato verso l’alto, con l’altra mano con il palmo rivolto verso il basso, spingere verso l’esterno il bastone. Quando si avverte tensione, mantenere la posizione per 30 secondi. Ripetere l’esercizio in direzione controlaterale.;3/5 ripetizioni in ogni direzione 1/2 ripetizioni del set 1/2 volte al giorno
